function,depth,width,N,l2,linf
besov_faber_schauder,3,98,9997,0.001075879205018282,0.013703584671020508
besov_faber_schauder,5,57,10090,0.00028332395595498383,0.006314277648925781
besov_faber_schauder,8,40,9961,0.00028483293135650456,0.004354000091552734
besov_faber_schauder,12,31,10014,0.00031780931749381125,0.0064089298248291016
piecewise_kink_poly,3,98,9997,0.00027903527370654047,0.000864863395690918
piecewise_kink_poly,5,57,10090,0.00017505975847598165,0.0013470649719238281
piecewise_kink_poly,8,40,9961,0.00018677246407605708,0.0009194612503051758
piecewise_kink_poly,12,31,10014,0.0001559305819682777,0.0007666349411010742
smooth,3,98,9997,0.00029248135979287326,0.0012295925989747047
smooth,5,57,10090,0.00013737166591454297,0.0009737014770507812
smooth,8,40,9961,0.00016508916451130062,0.0008645057678222656
smooth,12,31,10014,0.00019846866780426353,0.000805199146270752
