scenario,seed,function,sampler,grid_size,noise_sigma,weight_decay,lr,slope_l2,slope_linf,abs_alpha_l2,abs_alpha_linf
baseline,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,-0.2951562770159008,-0.28088691035643193,0.2951562770159008,0.28088691035643193
baseline,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,-0.4101773251449036,-0.26424189811108234,0.4101773251449036,0.26424189811108234
baseline,67,smooth,random,1000,0.0,0.0,0.001,-0.4189331622209375,-0.30148614755493724,0.4189331622209375,0.30148614755493724
baseline,68,besov_faber_schauder,random,1000,0.0,0.0,0.001,-0.32604452973280806,-0.3365806436526944,0.32604452973280806,0.3365806436526944
baseline,68,piecewise_kink_poly,random,1000,0.0,0.0,0.001,-0.33423503891498685,-0.14323548037702022,0.33423503891498685,0.14323548037702022
baseline,68,smooth,random,1000,0.0,0.0,0.001,-0.36678537552698004,-0.2650937350753359,0.36678537552698004,0.2650937350753359
baseline,69,besov_faber_schauder,random,1000,0.0,0.0,0.001,-0.5299079134633358,-0.48807403423103335,0.5299079134633358,0.48807403423103335
baseline,69,piecewise_kink_poly,random,1000,0.0,0.0,0.001,-0.4230595198718577,-0.2613983799071264,0.4230595198718577,0.2613983799071264
baseline,69,smooth,random,1000,0.0,0.0,0.001,-0.38485877969329174,-0.20480401665538692,0.38485877969329174,0.20480401665538692
grid_size=1000,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,-0.2951562770159008,-0.28088691035643193,0.2951562770159008,0.28088691035643193
grid_size=1000,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,-0.4101773251449036,-0.26424189811108234,0.4101773251449036,0.26424189811108234
grid_size=1000,67,smooth,random,1000,0.0,0.0,0.001,-0.4189331622209375,-0.30148614755493724,0.4189331622209375,0.30148614755493724
grid_size=300,67,besov_faber_schauder,random,300,0.0,0.0,0.001,-0.29108073124960165,-0.30400504222727615,0.29108073124960165,0.30400504222727615
grid_size=300,67,piecewise_kink_poly,random,300,0.0,0.0,0.001,-0.41069726227653747,-0.26320989260349903,0.41069726227653747,0.26320989260349903
grid_size=300,67,smooth,random,300,0.0,0.0,0.001,-0.4173355310062546,-0.29554964730559313,0.4173355310062546,0.29554964730559313
noise=0,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,-0.2951562770159008,-0.28088691035643193,0.2951562770159008,0.28088691035643193
noise=0,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,-0.4101773251449036,-0.26424189811108234,0.4101773251449036,0.26424189811108234
noise=0,67,smooth,random,1000,0.0,0.0,0.001,-0.4189331622209375,-0.30148614755493724,0.4189331622209375,0.30148614755493724
noise=0.01,67,besov_faber_schauder,random,1000,0.01,0.0,0.001,-0.20234987021434223,-0.25591076674474894,0.20234987021434223,0.25591076674474894
noise=0.01,67,piecewise_kink_poly,random,1000,0.01,0.0,0.001,-0.17372372646948323,-0.2391961808538518,0.17372372646948323,0.2391961808538518
noise=0.01,67,smooth,random,1000,0.01,0.0,0.001,-0.14905501363744658,-0.16978330120738025,0.14905501363744658,0.16978330120738025
sampler=grid,67,besov_faber_schauder,grid,1000,0.0,0.0,0.001,-0.45536950178781277,-0.3409992032659181,0.45536950178781277,0.3409992032659181
sampler=grid,67,piecewise_kink_poly,grid,1000,0.0,0.0,0.001,-0.41926856476440877,-0.30026247265817785,0.41926856476440877,0.30026247265817785
sampler=grid,67,smooth,grid,1000,0.0,0.0,0.001,-0.4780982954081212,-0.3509748722781692,0.4780982954081212,0.3509748722781692
sampler=random,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,-0.2951562770159008,-0.28088691035643193,0.2951562770159008,0.28088691035643193
sampler=random,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,-0.4101773251449036,-0.26424189811108234,0.4101773251449036,0.26424189811108234
sampler=random,67,smooth,random,1000,0.0,0.0,0.001,-0.4189331622209375,-0.30148614755493724,0.4189331622209375,0.30148614755493724
seed_under_noise=0.01,67,besov_faber_schauder,random,1000,0.01,0.0,0.001,-0.20234987021434223,-0.25591076674474894,0.20234987021434223,0.25591076674474894
seed_under_noise=0.01,67,piecewise_kink_poly,random,1000,0.01,0.0,0.001,-0.17372372646948323,-0.2391961808538518,0.17372372646948323,0.2391961808538518
seed_under_noise=0.01,67,smooth,random,1000,0.01,0.0,0.001,-0.14905501363744658,-0.16978330120738025,0.14905501363744658,0.16978330120738025
seed_under_noise=0.01,68,besov_faber_schauder,random,1000,0.01,0.0,0.001,-0.173891585155868,-0.28166416878143163,0.173891585155868,0.28166416878143163
seed_under_noise=0.01,68,piecewise_kink_poly,random,1000,0.01,0.0,0.001,-0.07842748956866391,-0.04188887273079706,0.07842748956866391,0.04188887273079706
seed_under_noise=0.01,68,smooth,random,1000,0.01,0.0,0.001,-0.151021324002527,-0.16635649976765152,0.151021324002527,0.16635649976765152
seed_under_noise=0.01,69,besov_faber_schauder,random,1000,0.01,0.0,0.001,-0.3263491357601279,-0.34360149035686177,0.3263491357601279,0.34360149035686177
seed_under_noise=0.01,69,piecewise_kink_poly,random,1000,0.01,0.0,0.001,-0.12250250188358541,-0.08985152984382593,0.12250250188358541,0.08985152984382593
