experiment_type,function,depth,width,N,l2,linf
fixed_depth,besov_faber_schauder,6,8,313,0.015495340339839458,0.09353482723236084
fixed_depth,besov_faber_schauder,6,16,1137,0.002339719794690609,0.021097660064697266
fixed_depth,besov_faber_schauder,6,32,4321,0.0005022954428568482,0.007691144943237305
fixed_depth,besov_faber_schauder,6,64,16833,0.00032173789804801345,0.005157113075256348
fixed_depth,besov_faber_schauder,6,128,66433,0.0002853219339158386,0.004135608673095703
fixed_depth,piecewise_kink_poly,6,8,313,0.0010939938947558403,0.0035924911499023438
fixed_depth,piecewise_kink_poly,6,16,1137,0.0007527509587816894,0.0027922987937927246
fixed_depth,piecewise_kink_poly,6,32,4321,0.0002257046871818602,0.0009000301361083984
fixed_depth,piecewise_kink_poly,6,64,16833,0.00020783593936357647,0.0012513399124145508
fixed_depth,piecewise_kink_poly,6,128,66433,8.594556857133284e-05,0.0008711814880371094
fixed_depth,smooth_sine,6,8,313,0.009461626410484314,0.04354315996170044
fixed_depth,smooth_sine,6,16,1137,0.0013028448447585106,0.006257176399230957
fixed_depth,smooth_sine,6,32,4321,0.0005664724740199745,0.004626058042049408
fixed_depth,smooth_sine,6,64,16833,0.000315889687044546,0.004823245108127594
fixed_depth,smooth_sine,6,128,66433,0.00032336643198505044,0.004205476492643356
fixed_width,besov_faber_schauder,3,40,1761,0.0012666811235249043,0.012641429901123047
fixed_width,besov_faber_schauder,5,40,5041,0.0004237683315295726,0.006844520568847656
fixed_width,besov_faber_schauder,8,40,9961,0.00027096725534647703,0.0053348541259765625
fixed_width,besov_faber_schauder,12,40,16521,0.00031775847310200334,0.0034750699996948242
fixed_width,piecewise_kink_poly,3,40,1761,0.0006829040357843041,0.0019776225090026855
fixed_width,piecewise_kink_poly,5,40,5041,0.00025878200540319085,0.0009512901306152344
fixed_width,piecewise_kink_poly,8,40,9961,0.0001930826692841947,0.0008870363235473633
fixed_width,piecewise_kink_poly,12,40,16521,0.0001932809391291812,0.0009182095527648926
fixed_width,smooth_sine,3,40,1761,0.0028007389046251774,0.010318636894226074
fixed_width,smooth_sine,5,40,5041,0.0006573285791091621,0.004181280732154846
fixed_width,smooth_sine,8,40,9961,0.0004858814354520291,0.005922935903072357
fixed_width,smooth_sine,12,40,16521,0.0004205580917187035,0.00977737084031105
